layer,head,program_idx,iou_score
8,22,55,0.74
8,23,55,0.832
8,24,55,0.818
8,25,55,0.941
8,26,55,0.86
8,27,55,0.932
8,28,55,0.852
8,29,55,0.748
8,30,33,0.638
8,31,55,0.653
9,0,55,0.948
9,1,33,0.717
9,2,55,0.651
9,3,55,0.604
9,4,33,0.575
9,5,33,0.569
9,6,55,0.84
9,7,55,0.729
9,8,55,0.692
9,9,55,0.638
9,10,33,0.737
9,11,33,0.569
9,12,55,0.781
9,13,33,0.522
9,14,55,0.708
9,15,33,0.599
9,16,55,0.74
9,17,55,0.658
9,18,33,0.624
9,19,55,0.709
9,20,33,0.565
9,21,55,0.676
9,22,55,0.634
9,23,33,0.608
9,24,33,0.491
9,25,55,0.788
9,26,33,0.744
9,27,33,0.608
9,28,55,0.713
9,29,33,0.501
9,30,55,0.668
9,31,55,0.795
10,0,33,0.615
10,1,55,0.632
10,2,33,0.466
10,3,33,0.623
10,4,33,0.581
10,5,33,0.596
10,6,55,0.702
10,7,33,0.549
10,8,55,0.765
10,9,55,0.638
10,10,55,0.672
10,11,55,0.749
10,12,55,0.821
10,13,55,0.788
10,14,55,0.807
10,15,33,0.693
10,16,55,0.911
10,17,55,0.648
10,18,55,0.673
10,19,55,0.692
10,20,55,0.574
10,21,33,0.649
10,22,55,0.644
10,23,55,0.634
10,24,55,0.773
10,25,33,0.541
10,26,55,0.83
10,27,33,0.546
10,28,33,0.507
10,29,55,0.581
10,30,55,0.618
10,31,33,0.476
11,0,55,0.831
11,1,55,0.881
11,2,55,0.849
11,3,23,0.981
11,4,33,0.574
11,5,55,0.833
11,6,55,0.912
11,7,55,0.924
11,8,2,0.996
11,9,55,0.51
11,10,55,0.566
11,11,23,0.984
11,12,55,0.516
11,13,55,0.838
11,14,55,0.661
11,15,55,0.963
11,16,33,0.545
11,17,55,0.651
11,18,55,0.652
11,19,55,0.565
11,20,55,0.77
11,21,55,0.692
11,22,55,0.697
11,23,55,0.724
11,24,55,0.706
11,25,33,0.619
11,26,55,0.598
11,27,55,0.746
11,28,33,0.682
11,29,55,0.671
11,30,33,0.573
11,31,55,0.809
12,0,33,0.763
12,1,33,0.446
12,2,33,0.581
12,3,55,0.631
12,4,33,0.407
12,5,55,0.886
12,6,55,0.708
12,7,55,0.691
12,8,33,0.52
12,9,55,0.659
12,10,33,0.629
12,11,55,0.591
12,12,33,0.559
12,13,33,0.492
12,14,55,0.62
12,15,33,0.572
12,16,33,0.677
12,17,33,0.581
12,18,55,0.659
12,19,33,0.564
12,20,55,0.753
12,21,55,0.609
12,22,33,0.599
12,23,33,0.642
12,24,33,0.532
12,25,33,0.692
12,26,55,0.782
12,27,55,0.665
