k,head,program,strategy,increase,kl_div,spike
79,"(17, 15)",sentence_beginning_salience,smart,5.650804326668846,0.05029937699437141,False
80,"(7, 0)",sentence_beginning_salience,smart,5.870091552520973,0.05106226652860642,False
81,"(18, 23)",sentence_beginning_salience,smart,5.489476336306447,0.050533010810613635,False
82,"(21, 23)",sentence_beginning_salience,smart,5.405411166419423,0.05074223205447197,False
83,"(19, 15)",sentence_beginning_salience,smart,4.962143976835003,0.05079719200730324,False
84,"(17, 12)",sentence_beginning_salience,smart,4.7343154128024505,0.05185308381915092,False
85,"(5, 22)",sentence_beginning_salience,smart,5.123079680720753,0.05094786509871483,False
86,"(5, 9)",sentence_beginning_salience,smart,5.606142089021,0.05378937274217606,False
87,"(8, 17)",sentence_beginning_salience,smart,5.559416714713156,0.05790514126420021,False
88,"(8, 19)",sentence_beginning_salience,smart,5.428296436821077,0.05849051997065544,False
89,"(12, 5)",sentence_beginning_salience,smart,5.376632754726089,0.062102357298135756,False
90,"(16, 13)",sentence_beginning_salience,smart,5.451101665825628,0.06692905873060226,False
91,"(4, 9)",sentence_beginning_salience,smart,5.60260563052245,0.07212826386094093,False
92,"(18, 19)",sentence_beginning_salience,smart,5.6955420841392534,0.0729545958340168,False
93,"(15, 15)",sentence_beginning_salience,smart,5.997045815284342,0.07216708213090897,False
94,"(15, 17)",sentence_beginning_salience,smart,5.873445680597657,0.07225471436977386,False
95,"(11, 1)",sentence_beginning_salience,smart,6.107894052190831,0.07649086266756058,False
96,"(6, 17)",sentence_beginning_salience,smart,6.226097981480473,0.07538487613201142,False
97,"(19, 13)",sentence_beginning_salience,smart,6.576270436895544,0.0787583440542221,False
98,"(4, 23)",sentence_beginning_salience,smart,6.3539333775655695,0.07994719445705414,False
99,"(6, 3)",sentence_beginning_salience,smart,6.406476913176225,0.07931335866451264,False
100,"(18, 6)",sentence_beginning_salience,smart,6.570280463248783,0.07800449877977371,False
101,"(7, 14)",sentence_beginning_salience,smart,7.089525314565971,0.09119912385940551,False
102,"(4, 27)",sentence_beginning_salience,smart,7.229003927298936,0.08963364213705063,False
103,"(7, 25)",sentence_beginning_salience,smart,7.581862435403465,0.09052069559693336,False
104,"(16, 30)",sentence_beginning_salience,smart,7.9168491007941855,0.0934919461607933,False
105,"(17, 21)",sentence_beginning_salience,smart,8.353326885029144,0.09612277448177338,False
106,"(4, 29)",sentence_beginning_salience,smart,8.757809000598542,0.0969449058175087,False
107,"(6, 0)",sentence_beginning_salience,smart,9.202276738806441,0.10119097828865051,False
108,"(5, 25)",sentence_beginning_salience,smart,9.961031729994508,0.1014004960656166,False
109,"(5, 29)",sentence_beginning_salience,smart,10.284782184248936,0.1080048069357872,False
110,"(18, 2)",sentence_beginning_salience,smart,10.135158608532183,0.10891806930303574,False
111,"(4, 5)",sentence_beginning_salience,smart,10.708169356191448,0.10749565809965134,False
112,"(8, 13)",sentence_beginning_salience,smart,10.184163120998136,0.10784429609775543,False
113,"(4, 20)",sentence_beginning_salience,smart,10.004425367676406,0.11150632053613663,False
114,"(8, 26)",sentence_beginning_salience,smart,9.926760652386928,0.10459780991077423,False
115,"(6, 13)",sentence_beginning_salience,smart,10.317335219929987,0.1086342990398407,False
116,"(5, 17)",sentence_beginning_salience,smart,10.56982568867181,0.11842795014381409,False
117,"(4, 30)",sentence_beginning_salience,smart,10.344216002087244,0.11811604946851731,False
118,"(5, 8)",sentence_beginning_salience,smart,10.109530308392024,0.11846463829278946,False
119,"(8, 8)",sentence_beginning_salience,smart,9.941801500662955,0.12271151095628738,False
120,"(4, 11)",sentence_beginning_salience,smart,9.849319007964237,0.11773705333471299,False
